Date,HITACHI,TOSHIBA,NEC,SONY,NISSAN,TOYOTA
200501,688,419,594,3840,1095,4030
200502,663,460,679,3990,1125,4070
200503,666,448,648,4270,1099,3990
200504,620,430,578,3920,1040,3840
200505,652,445,603,4060,1067,3860
200506,674,442,600,3820,1098,3970
200507,684,437,575,3710,1168,4250
200508,675,436,589,3700,1156,4500
200509,719,500,615,3730,1296,5200
200510,711,536,573,3760,1208,5310
200511,808,630,725,4450,1233,5790
200512,795,704,734,4820,1195,6120
200601,827,751,760,5700,1320,6080
200602,821,666,721,5530,1340,6250
200603,833,684,827,5450,1398,6430
200604,847,725,797,5720,1497,6660
200605,757,750,668,5010,1350,5930
200606,756,747,610,5050,1250,5990
200607,734,741,634,5280,1236,6060
200608,745,836,683,5080,1334,6370
200609,689,766,649,4780,1323,6420
200610,675,740,602,4850,1401,6930
200611,688,741,553,4580,1412,7020
200612,742,775,569,5100,1433,7960
200701,810,770,610,5550,1508,7950
200702,831,748,628,6170,1372,8020
200703,914,787,632,5990,1263,7550
200704,914,897,638,6420,1215,7320
200705,894,910,620,7010,1354,7300
200706,875,1075,638,6330,1321,7800
200707,853,1122,587,6310,1272,7200
200708,748,1044,547,5580,1114,6760
200709,765,1073,558,5570,1151,6780
200710,781,965,570,5640,1326,6570
200711,778,902,519,6010,1265,6240
200712,833,837,515,6200,1230,6040
200801,795,718,436,5220,1013,5820
200802,766,797,459,4990,964,5750
200803,591,666,380,3970,824,4970
200804,701,862,491,4780,922,5270
200805,758,929,560,5280,937,5370
200806,766,783,556,4640,877,5010
200807,780,706,593,4120,840,4660
200808,809,614,510,4240,841,4930
200809,718,451,440,3170,697,4380
200810,453,351,283,2220,493,3730
200811,441,348,268,1843,317,3000
200812,345,366,297,1922,320,2905