Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,7.6,6.0,9.4,14.5,19.8,22.5,27.7,28.3,25.6,18.8,13.3,8.8
2001,4.9,6.6,9.8,15.7,19.5,23.1,28.5,26.4,23.2,18.7,13.1,8.4
2002,7.4,7.9,12.2,16.1,18.4,21.6,28.0,28.0,23.1,19.0,11.6,7.2
2003,5.5,6.4,8.7,15.1,18.8,23.2,22.8,26.0,24.2,17.8,14.4,9.2
2004,6.3,8.5,9.8,16.4,19.6,23.7,28.5,27.2,25.1,17.5,15.6,9.9
2005,6.1,6.2,9.0,15.1,17.7,23.2,25.6,28.1,24.7,19.2,13.3,6.4
2006,5.1,6.7,9.8,13.6,19.0,22.5,25.6,27.5,23.5,19.5,14.4,9.5
2007,7.6,8.6,10.8,13.7,19.8,23.2,24.4,29.0,25.2,19.0,13.3,9.0
2008,5.9,5.5,10.7,14.7,18.5,21.3,27.0,26.8,24.4,19.4,13.1,9.8
2009,6.8,7.8,10.0,15.7,20.1,22.5,26.3,26.6,23.0,19.0,13.5,9.0
2010,7.0,6.5,9.1,12.4,19.0,23.6,28.0,29.6,25.1,18.9,13.5,9.9
2011,5.1,7.0,8.1,14.5,18.5,22.8,27.3,27.5,25.1,19.5,14.9,7.5
2012,4.8,5.4,8.8,14.5,19.6,21.4,26.4,29.1,26.2,19.4,12.7,7.3
2013,5.5,6.2,12.1,15.2,19.8,22.9,27.3,29.2,25.2,19.8,13.5,8.3